gene,ORF,ANCvsEVO,lines,source_96plate,source_96well,ambigous,ploidy_curated,comment,ancestors,genseq_VS_bela_ambi,missing,missingWT,ploidy_semifinal,Bela_ploidy,ploidy_of_ancestors,ploidy_of_genseq_VS_bela_ambi,ploidy_of_missing,ploidy_of_missingWT,ploidy_of_ploidy_semifinal,ploidy_of_Bela_ploidy,WGS
MDM20,YOL076W,ancestor,MDM20.YOL076W.ancestor,1B,B3,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MDM20,YOL076W,evolved.1,MDM20.YOL076W.evolved.1,1B,B3,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MDM20,YOL076W,evolved.2,MDM20.YOL076W.evolved.2,1B,G11,NA,dip,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
GET1,YGL020C,ancestor,GET1.YGL020C.ancestor,5C,H10,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
GET1,YGL020C,evolved.1,GET1.YGL020C.evolved.1,5C,H10,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
GET1,YGL020C,evolved.2,GET1.YGL020C.evolved.2,5A,G1,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
MED1,YPR070W,ancestor,MED1.YPR070W.ancestor,4A,B1,NA,hap,NA,hap,NA,NA,NA,hap,NA,1,NA,NA,NA,1,NA,NA
MED1,YPR070W,evolved.1,MED1.YPR070W.evolved.1,4A,B1,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
MED1,YPR070W,evolved.2,MED1.YPR070W.evolved.2,4B,F2,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
MET7,YOR241W,ancestor,MET7.YOR241W.ancestor,2B,A9,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MET7,YOR241W,evolved.1,MET7.YOR241W.evolved.1,2B,A9,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
MGM101,YJR144W,ancestor,MGM101.YJR144W.ancestor,4B,B10,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MGM101,YJR144W,evolved.1,MGM101.YJR144W.evolved.1,4B,B10,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
MMS22,YLR320W,ancestor,MMS22.YLR320W.ancestor,2C,A5,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MMS22,YLR320W,evolved.1,MMS22.YLR320W.evolved.1,2C,A5,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MMS22,YLR320W,evolved.2,MMS22.YLR320W.evolved.2,2A,E7,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MRE11,YMR224C,ancestor,MRE11.YMR224C.ancestor,1A,H5,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MRE11,YMR224C,evolved.1,MRE11.YMR224C.evolved.1,1A,H5,NA,hap,NA,NA,NA,hapa,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MRE11,YMR224C,evolved.2,MRE11.YMR224C.evolved.2,1A,B4,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MRP7,YNL005C,ancestor,MRP7.YNL005C.ancestor,4B,D11,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MRP7,YNL005C,evolved.1,MRP7.YNL005C.evolved.1,4B,D11,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
MRP7,YNL005C,evolved.2,MRP7.YNL005C.evolved.2,4C,B10,NA,dip,NA,NA,NA,NA,NA,dip,NA,NA,NA,NA,NA,2,NA,NA
MRPL10,YNL284C,ancestor,MRPL10.YNL284C.ancestor,6B,B5,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MRPL10,YNL284C,evolved.1,MRPL10.YNL284C.evolved.1,6B,B5,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MRPL10,YNL284C,evolved.2,MRPL10.YNL284C.evolved.2,6A,D6,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MRPL27,YBR282W,ancestor,MRPL27.YBR282W.ancestor,4C,G2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MRPL27,YBR282W,evolved.1,MRPL27.YBR282W.evolved.1,4C,G2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
MRPL27,YBR282W,evolved.2,MRPL27.YBR282W.evolved.2,4C,A4,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MRPL51,YPR100W,ancestor,MRPL51.YPR100W.ancestor,4C,D3,NA,hap,NA,hap,NA,NA,NA,hap,NA,1,NA,NA,NA,1,NA,NA
MRPL51,YPR100W,evolved.1,MRPL51.YPR100W.evolved.1,4C,D3,1,hap/dip,NA,NA,NA,NA,NA,hap/dip,NA,NA,NA,NA,NA,1.5,NA,NA
MRPL6,YHR147C,ancestor,MRPL6.YHR147C.ancestor,2A,A8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MRPL6,YHR147C,evolved.1,MRPL6.YHR147C.evolved.1,2A,A8,1,hap/dip,NA,NA,NA,NA,NA,hap/dip,NA,NA,NA,NA,NA,1.5,NA,NA
MRPL7,YDR237W,ancestor,MRPL7.YDR237W.ancestor,2B,D8,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MRPL7,YDR237W,evolved.1,MRPL7.YDR237W.evolved.1,2B,D8,NA,hap,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MSS18,YPR134W,ancestor,MSS18.YPR134W.ancestor,3B,F2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
MSS18,YPR134W,evolved.1,MSS18.YPR134W.evolved.1,3B,F2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
MSS18,YPR134W,evolved.2,MSS18.YPR134W.evolved.2,3A,H3,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
NEM1,YHR004C,ancestor,NEM1.YHR004C.ancestor,4A,C2,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NEM1,YHR004C,evolved.1,NEM1.YHR004C.evolved.1,4A,C2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
NEM1,YHR004C,evolved.2,NEM1.YHR004C.evolved.2,4B,G2,NA,hap,NA,NA,NA,NA,NA,hap,NA,NA,NA,NA,NA,1,NA,NA
NPL3,YDR432W,ancestor,NPL3.YDR432W.ancestor,1C,B7,NA,hap,NA,hap,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
